Year,Team,Player,Runs,Wides,No_Balls,Venue,Match_Date
1975,Australia,David Warner,120,0,1,"MCG, Melbourne",1975-03-07
1975,Australia,Adam Gilchrist,109,5,1,"Lord's, London",1975-02-18
1975,Australia,Adam Gilchrist,23,4,3,"Wankhede, Mumbai",1975-04-01
1975,Australia,Adam Gilchrist,73,0,0,"Wankhede, Mumbai",1975-09-17
1975,England,Joe Root,81,3,0,"Old Trafford, Manchester",1975-11-18
1975,England,Joe Root,16,5,0,"Lord's, London",1975-01-12
1975,England,Joe Root,74,1,2,"Chinnaswamy, Bangalore",1975-04-02
1975,England,Joe Root,93,4,1,"Old Trafford, Manchester",1975-10-05
1975,England,Joe Root,12,4,3,"Lord's, London",1975-08-15
1975,England,Joe Root,27,4,0,"Lord's, London",1975-08-04
1975,England,Ben Stokes,146,2,2,"Eden Gardens, Kolkata",1975-07-23
1975,England,Ben Stokes,109,1,1,"Lord's, London",1975-11-06
1975,England,Ben Stokes,119,1,3,"MCG, Melbourne",1975-04-27
1975,England,Jos Buttler,43,5,3,"MCG, Melbourne",1975-08-26
1975,England,Jos Buttler,67,1,1,"Eden Gardens, Kolkata",1975-03-15
1975,England,Jos Buttler,37,1,1,"Wankhede, Mumbai",1975-08-26
1975,England,Jos Buttler,100,3,2,"Old Trafford, Manchester",1975-11-26
1975,England,Jos Buttler,34,1,1,"Lord's, London",1975-04-18
1975,England,Jos Buttler,127,1,2,"Old Trafford, Manchester",1975-11-13
1975,England,Jos Buttler,112,0,0,"Eden Gardens, Kolkata",1975-10-11
1975,England,Jos Buttler,10,0,3,"Lord's, London",1975-07-18
1975,England,Jos Buttler,109,3,2,"MCG, Melbourne",1975-04-05
1975,England,Eoin Morgan,74,1,3,"MCG, Melbourne",1975-10-26
1975,England,Eoin Morgan,33,1,3,"Lord's, London",1975-05-07
1975,England,Eoin Morgan,30,5,2,"Wankhede, Mumbai",1975-01-07
1975,England,Eoin Morgan,88,0,3,"Wankhede, Mumbai",1975-05-21
1975,England,Eoin Morgan,21,4,1,"Lord's, London",1975-06-07
1975,England,Eoin Morgan,78,2,1,"Chinnaswamy, Bangalore",1975-06-18
1975,England,Eoin Morgan,96,0,2,"MCG, Melbourne",1975-06-28
1975,England,Eoin Morgan,104,3,0,"Chinnaswamy, Bangalore",1975-06-04
1975,England,Eoin Morgan,44,5,3,"MCG, Melbourne",1975-07-23
1975,England,Kevin Pietersen,147,2,1,"MCG, Melbourne",1975-02-24
1975,England,Kevin Pietersen,1,0,3,"MCG, Melbourne",1975-04-15
1975,England,Kevin Pietersen,83,2,3,"Lord's, London",1975-03-01
1975,England,Kevin Pietersen,24,2,1,"Wankhede, Mumbai",1975-07-13
1975,England,Kevin Pietersen,11,5,2,"Wankhede, Mumbai",1975-03-13
1975,England,Kevin Pietersen,139,5,0,"Lord's, London",1975-12-05
1975,England,Kevin Pietersen,96,4,2,"Eden Gardens, Kolkata",1975-03-09
1975,Pakistan,Babar Azam,29,1,1,"MCG, Melbourne",1975-04-15
1975,Pakistan,Babar Azam,6,3,0,"Wankhede, Mumbai",1975-09-26
1975,Pakistan,Babar Azam,16,4,2,"Eden Gardens, Kolkata",1975-03-01
1975,Pakistan,Babar Azam,10,3,0,"Lord's, London",1975-07-04
1975,Pakistan,Wasim Akram,105,0,2,"Eden Gardens, Kolkata",1975-11-08
1975,Pakistan,Wasim Akram,92,1,3,"Lord's, London",1975-03-13
1975,Pakistan,Wasim Akram,39,1,0,"Chinnaswamy, Bangalore",1975-03-21
1975,Pakistan,Wasim Akram,141,5,3,"Wankhede, Mumbai",1975-04-09
1975,Pakistan,Wasim Akram,59,2,2,"Old Trafford, Manchester",1975-06-13
1975,Pakistan,Wasim Akram,109,0,3,"Wankhede, Mumbai",1975-08-20
1975,Pakistan,Wasim Akram,14,2,3,"Chinnaswamy, Bangalore",1975-08-02
1975,Pakistan,Wasim Akram,132,3,2,"Eden Gardens, Kolkata",1975-11-02
1975,Pakistan,Wasim Akram,53,4,2,"Old Trafford, Manchester",1975-01-19
1975,Pakistan,Inzamam-ul-Haq,142,4,2,"Eden Gardens, Kolkata",1975-10-19
1975,Pakistan,Inzamam-ul-Haq,25,4,0,"Eden Gardens, Kolkata",1975-12-08
1975,Pakistan,Inzamam-ul-Haq,113,2,0,"Lord's, London",1975-07-17
1975,Pakistan,Inzamam-ul-Haq,124,2,3,"Chinnaswamy, Bangalore",1975-09-23
1975,Pakistan,Inzamam-ul-Haq,141,4,2,"MCG, Melbourne",1975-04-02
1975,Pakistan,Inzamam-ul-Haq,148,0,2,"Old Trafford, Manchester",1975-03-08
1975,Pakistan,Inzamam-ul-Haq,126,5,0,"Old Trafford, Manchester",1975-02-01
1975,Pakistan,Shahid Afridi,119,0,3,"Old Trafford, Manchester",1975-07-09
1975,Pakistan,Shahid Afridi,81,2,1,"Chinnaswamy, Bangalore",1975-12-06
1975,Pakistan,Shahid Afridi,1,0,0,"Old Trafford, Manchester",1975-02-18
1975,Pakistan,Shahid Afridi,50,1,3,"Wankhede, Mumbai",1975-07-14
1975,Pakistan,Shahid Afridi,142,3,0,"Lord's, London",1975-10-18
1975,Pakistan,Shahid Afridi,11,3,3,"Chinnaswamy, Bangalore",1975-04-10
1975,Pakistan,Shahid Afridi,29,4,2,"Wankhede, Mumbai",1975-11-04
1975,Pakistan,Shahid Afridi,98,1,2,"Chinnaswamy, Bangalore",1975-07-20
1975,Pakistan,Shahid Afridi,23,0,2,"Old Trafford, Manchester",1975-07-12
1975,Pakistan,Imran Khan,80,1,3,"Wankhede, Mumbai",1975-11-15
1975,Pakistan,Imran Khan,130,3,1,"Wankhede, Mumbai",1975-08-24
1975,Pakistan,Imran Khan,18,2,2,"Eden Gardens, Kolkata",1975-04-17
1975,Pakistan,Imran Khan,52,4,2,"Old Trafford, Manchester",1975-08-22
1975,Pakistan,Imran Khan,73,0,1,"Eden Gardens, Kolkata",1975-11-25
1975,Pakistan,Imran Khan,129,5,2,"MCG, Melbourne",1975-07-12
1975,Pakistan,Imran Khan,29,2,3,"MCG, Melbourne",1975-10-10
1975,South Africa,AB de Villiers,28,5,2,"Old Trafford, Manchester",1975-02-16
1975,South Africa,AB de Villiers,127,2,0,"Lord's, London",1975-01-22
1975,South Africa,AB de Villiers,80,5,1,"Eden Gardens, Kolkata",1975-05-23
1975,South Africa,AB de Villiers,137,5,0,"Chinnaswamy, Bangalore",1975-12-08
1975,South Africa,AB de Villiers,83,5,0,"MCG, Melbourne",1975-06-14
1975,South Africa,AB de Villiers,90,0,2,"Old Trafford, Manchester",1975-08-26
1975,South Africa,AB de Villiers,95,0,2,"Lord's, London",1975-02-04
1975,South Africa,AB de Villiers,51,1,2,"Chinnaswamy, Bangalore",1975-08-25
1975,South Africa,AB de Villiers,121,2,0,"Wankhede, Mumbai",1975-07-18
1975,South Africa,Jacques Kallis,45,3,3,"Old Trafford, Manchester",1975-06-18
1975,South Africa,Jacques Kallis,70,4,3,"Lord's, London",1975-09-03
1975,South Africa,Jacques Kallis,81,5,0,"Wankhede, Mumbai",1975-07-22
1975,South Africa,Jacques Kallis,3,5,2,"MCG, Melbourne",1975-07-26
1975,South Africa,Jacques Kallis,136,3,3,"Wankhede, Mumbai",1975-11-23
1975,South Africa,Jacques Kallis,29,1,2,"Eden Gardens, Kolkata",1975-07-22
1975,South Africa,Jacques Kallis,102,0,3,"MCG, Melbourne",1975-07-11
1975,South Africa,Jacques Kallis,35,5,2,"MCG, Melbourne",1975-04-27
1975,South Africa,Jacques Kallis,136,2,0,"Lord's, London",1975-04-25
1975,South Africa,Hashim Amla,47,3,1,"MCG, Melbourne",1975-04-12
1975,South Africa,Hashim Amla,95,0,0,"MCG, Melbourne",1975-10-01
1975,South Africa,Hashim Amla,23,1,3,"Chinnaswamy, Bangalore",1975-06-18
1975,South Africa,Hashim Amla,41,3,1,"Lord's, London",1975-03-25
1975,South Africa,Hashim Amla,149,4,0,"MCG, Melbourne",1975-10-17
1975,South Africa,Hashim Amla,30,5,1,"MCG, Melbourne",1975-10-14
1975,South Africa,Hashim Amla,80,2,1,"MCG, Melbourne",1975-05-01
1975,South Africa,Dale Steyn,32,4,2,"Old Trafford, Manchester",1975-11-04
1975,South Africa,Dale Steyn,118,4,2,"Old Trafford, Manchester",1975-06-15
1975,South Africa,Dale Steyn,127,4,3,"Lord's, London",1975-01-25
1975,South Africa,Dale Steyn,139,2,1,"Old Trafford, Manchester",1975-06-15
1975,South Africa,Dale Steyn,77,4,3,"Wankhede, Mumbai",1975-10-09
1975,South Africa,Dale Steyn,63,2,3,"Old Trafford, Manchester",1975-10-14
1975,South Africa,Dale Steyn,81,5,1,"Eden Gardens, Kolkata",1975-01-10
1975,South Africa,Dale Steyn,149,3,0,"MCG, Melbourne",1975-09-22
1975,South Africa,Dale Steyn,19,0,2,"Chinnaswamy, Bangalore",1975-04-24
1975,South Africa,Graeme Smith,59,4,3,"Chinnaswamy, Bangalore",1975-02-27
1975,South Africa,Graeme Smith,53,4,3,"Eden Gardens, Kolkata",1975-07-17
1975,South Africa,Graeme Smith,10,3,0,"Old Trafford, Manchester",1975-07-16
1975,New Zealand,Kane Williamson,6,4,0,"Chinnaswamy, Bangalore",1975-03-23
1975,New Zealand,Kane Williamson,142,0,2,"Wankhede, Mumbai",1975-04-02
1975,New Zealand,Kane Williamson,71,2,2,"MCG, Melbourne",1975-07-18
1975,New Zealand,Brendon McCullum,141,1,2,"Lord's, London",1975-10-03
1975,New Zealand,Brendon McCullum,66,1,0,"Lord's, London",1975-03-16
1975,New Zealand,Brendon McCullum,39,5,3,"Eden Gardens, Kolkata",1975-10-23
1975,New Zealand,Brendon McCullum,24,2,0,"Eden Gardens, Kolkata",1975-04-10
1975,New Zealand,Brendon McCullum,24,4,1,"Eden Gardens, Kolkata",1975-01-26
1975,New Zealand,Ross Taylor,77,1,1,"Wankhede, Mumbai",1975-10-27
1975,New Zealand,Ross Taylor,104,2,2,"MCG, Melbourne",1975-11-22
1975,New Zealand,Ross Taylor,47,3,1,"Lord's, London",1975-09-16
1975,New Zealand,Ross Taylor,31,3,3,"Lord's, London",1975-08-07
1975,New Zealand,Martin Guptill,58,0,0,"Old Trafford, Manchester",1975-11-22
1975,New Zealand,Martin Guptill,74,3,0,"Chinnaswamy, Bangalore",1975-11-19
1975,New Zealand,Martin Guptill,101,0,0,"Chinnaswamy, Bangalore",1975-11-02
1975,New Zealand,Martin Guptill,104,5,1,"Eden Gardens, Kolkata",1975-01-26
1975,New Zealand,Martin Guptill,115,5,1,"MCG, Melbourne",1975-11-18
1975,New Zealand,Martin Guptill,109,0,1,"Wankhede, Mumbai",1975-08-11
1975,New Zealand,Martin Guptill,59,3,2,"MCG, Melbourne",1975-02-01
1975,New Zealand,Martin Guptill,27,2,2,"Old Trafford, Manchester",1975-11-05
1975,New Zealand,Daniel Vettori,126,2,3,"Lord's, London",1975-12-06
1975,New Zealand,Daniel Vettori,93,3,2,"Old Trafford, Manchester",1975-10-01
1975,New Zealand,Daniel Vettori,90,2,3,"Old Trafford, Manchester",1975-01-20
1975,New Zealand,Daniel Vettori,82,5,2,"Old Trafford, Manchester",1975-08-02
1975,New Zealand,Daniel Vettori,32,1,0,"Eden Gardens, Kolkata",1975-10-11
1975,New Zealand,Daniel Vettori,80,2,0,"Old Trafford, Manchester",1975-03-09
1975,Sri Lanka,Kumar Sangakkara,78,3,3,"MCG, Melbourne",1975-12-28
1975,Sri Lanka,Kumar Sangakkara,145,0,2,"Wankhede, Mumbai",1975-03-13
1975,Sri Lanka,Kumar Sangakkara,36,1,2,"Wankhede, Mumbai",1975-06-18
1975,Sri Lanka,Kumar Sangakkara,61,2,3,"Wankhede, Mumbai",1975-04-27
1975,Sri Lanka,Kumar Sangakkara,10,5,0,"Eden Gardens, Kolkata",1975-12-24
1975,Sri Lanka,Kumar Sangakkara,36,1,0,"Old Trafford, Manchester",1975-11-06
1975,Sri Lanka,Kumar Sangakkara,17,3,1,"Chinnaswamy, Bangalore",1975-10-28
1975,Sri Lanka,Kumar Sangakkara,41,3,2,"Lord's, London",1975-11-10
1975,Sri Lanka,Mahela Jayawardene,92,3,0,"Old Trafford, Manchester",1975-04-08
1975,Sri Lanka,Mahela Jayawardene,148,3,1,"Wankhede, Mumbai",1975-09-09
1975,Sri Lanka,Mahela Jayawardene,134,2,0,"Chinnaswamy, Bangalore",1975-08-21
1975,Sri Lanka,Mahela Jayawardene,75,4,3,"Eden Gardens, Kolkata",1975-09-12
1975,Sri Lanka,Mahela Jayawardene,26,2,1,"Wankhede, Mumbai",1975-09-18
1975,Sri Lanka,Mahela Jayawardene,119,0,0,"MCG, Melbourne",1975-11-17
1975,Sri Lanka,Mahela Jayawardene,114,0,1,"Eden Gardens, Kolkata",1975-01-15
1975,Sri Lanka,Mahela Jayawardene,52,5,2,"MCG, Melbourne",1975-10-26
1975,Sri Lanka,Sanath Jayasuriya,100,4,0,"Wankhede, Mumbai",1975-08-07
1975,Sri Lanka,Sanath Jayasuriya,49,0,3,"Chinnaswamy, Bangalore",1975-03-27
1975,Sri Lanka,Sanath Jayasuriya,100,5,0,"Eden Gardens, Kolkata",1975-09-07
1975,Sri Lanka,Sanath Jayasuriya,81,3,3,"Old Trafford, Manchester",1975-02-01
1975,Sri Lanka,Sanath Jayasuriya,139,5,1,"Eden Gardens, Kolkata",1975-11-24
1975,Sri Lanka,Sanath Jayasuriya,89,5,3,"Wankhede, Mumbai",1975-02-18
1975,Sri Lanka,Sanath Jayasuriya,127,3,1,"Old Trafford, Manchester",1975-07-17
1975,Sri Lanka,Sanath Jayasuriya,68,3,3,"Wankhede, Mumbai",1975-12-25
1975,Sri Lanka,Sanath Jayasuriya,136,5,0,"Old Trafford, Manchester",1975-03-20
1975,Sri Lanka,Muttiah Muralitharan,90,1,3,"MCG, Melbourne",1975-08-14
1975,Sri Lanka,Muttiah Muralitharan,85,3,0,"Wankhede, Mumbai",1975-06-07
1975,Sri Lanka,Muttiah Muralitharan,29,2,1,"Wankhede, Mumbai",1975-02-01
1975,Sri Lanka,Muttiah Muralitharan,141,5,0,"MCG, Melbourne",1975-07-21
1975,Sri Lanka,Muttiah Muralitharan,59,5,0,"Lord's, London",1975-06-03
1975,Sri Lanka,Muttiah Muralitharan,104,5,1,"Eden Gardens, Kolkata",1975-11-25
1975,Sri Lanka,Muttiah Muralitharan,56,3,0,"Chinnaswamy, Bangalore",1975-03-01
1975,Sri Lanka,Muttiah Muralitharan,35,2,1,"Lord's, London",1975-05-09
1975,Sri Lanka,Muttiah Muralitharan,6,4,3,"Lord's, London",1975-04-27
1975,Sri Lanka,Lasith Malinga,109,2,1,"Eden Gardens, Kolkata",1975-09-10
1975,Sri Lanka,Lasith Malinga,91,5,0,"MCG, Melbourne",1975-03-21
1975,Sri Lanka,Lasith Malinga,55,5,3,"Wankhede, Mumbai",1975-10-02
1975,Sri Lanka,Lasith Malinga,8,2,3,"Eden Gardens, Kolkata",1975-12-18
1975,Sri Lanka,Lasith Malinga,72,3,1,"Wankhede, Mumbai",1975-12-08
1975,Sri Lanka,Lasith Malinga,129,2,2,"Old Trafford, Manchester",1975-05-14
1975,Sri Lanka,Lasith Malinga,41,3,2,"Chinnaswamy, Bangalore",1975-03-12
1975,West Indies,Chris Gayle,138,5,1,"Old Trafford, Manchester",1975-09-17
1975,West Indies,Chris Gayle,122,4,3,"Lord's, London",1975-08-08
1975,West Indies,Chris Gayle,70,3,3,"Wankhede, Mumbai",1975-06-09
1975,West Indies,Chris Gayle,56,3,2,"Eden Gardens, Kolkata",1975-02-22
1975,West Indies,Chris Gayle,109,3,1,"Eden Gardens, Kolkata",1975-07-10
1975,West Indies,Chris Gayle,14,5,3,"Old Trafford, Manchester",1975-07-08
1975,West Indies,Chris Gayle,67,0,0,"Lord's, London",1975-11-27
1975,West Indies,Chris Gayle,5,0,1,"Chinnaswamy, Bangalore",1975-09-16
1975,West Indies,Chris Gayle,31,1,3,"Eden Gardens, Kolkata",1975-02-27
1975,West Indies,Brian Lara,81,1,3,"Eden Gardens, Kolkata",1975-08-14
1975,West Indies,Brian Lara,69,3,0,"Old Trafford, Manchester",1975-11-04
1975,West Indies,Brian Lara,113,2,3,"Lord's, London",1975-06-20
1975,West Indies,Brian Lara,129,4,2,"Old Trafford, Manchester",1975-09-17
1975,West Indies,Brian Lara,105,5,2,"Old Trafford, Manchester",1975-10-07
1975,West Indies,Brian Lara,131,1,1,"Old Trafford, Manchester",1975-06-07
1975,West Indies,Brian Lara,52,5,1,"Lord's, London",1975-11-13
1975,West Indies,Viv Richards,38,2,0,"Lord's, London",1975-08-11
1975,West Indies,Viv Richards,81,1,0,"MCG, Melbourne",1975-06-03
1975,West Indies,Viv Richards,14,4,3,"Chinnaswamy, Bangalore",1975-12-06
1975,West Indies,Viv Richards,69,5,1,"Chinnaswamy, Bangalore",1975-01-15
1975,West Indies,Viv Richards,42,5,3,"Eden Gardens, Kolkata",1975-06-10
1975,West Indies,Viv Richards,69,2,0,"Wankhede, Mumbai",1975-08-15
1975,West Indies,Viv Richards,62,0,1,"Lord's, London",1975-02-06
1975,West Indies,Viv Richards,86,0,0,"Old Trafford, Manchester",1975-05-20
1975,West Indies,Viv Richards,29,2,0,"MCG, Melbourne",1975-06-22
1975,West Indies,Clive Lloyd,32,3,1,"Lord's, London",1975-07-23
1975,West Indies,Clive Lloyd,83,2,2,"Chinnaswamy, Bangalore",1975-09-03
1975,West Indies,Clive Lloyd,101,1,0,"Old Trafford, Manchester",1975-04-24
1975,West Indies,Clive Lloyd,99,5,3,"Lord's, London",1975-09-15
1975,West Indies,Clive Lloyd,46,0,0,"Old Trafford, Manchester",1975-12-26
1975,West Indies,Clive Lloyd,119,3,2,"MCG, Melbourne",1975-07-14
1975,West Indies,Clive Lloyd,124,1,1,"Chinnaswamy, Bangalore",1975-02-07
1975,West Indies,Andre Russell,120,1,0,"Wankhede, Mumbai",1975-09-07
1975,West Indies,Andre Russell,51,5,3,"Lord's, London",1975-05-15
1975,West Indies,Andre Russell,65,4,0,"Old Trafford, Manchester",1975-06-10
1975,West Indies,Andre Russell,123,5,3,"Eden Gardens, Kolkata",1975-07-25
1975,West Indies,Andre Russell,95,5,1,"Chinnaswamy, Bangalore",1975-09-11
1975,West Indies,Andre Russell,139,4,3,"Wankhede, Mumbai",1975-03-18
1975,West Indies,Andre Russell,70,1,3,"Chinnaswamy, Bangalore",1975-01-02
1975,West Indies,Andre Russell,87,3,2,"Lord's, London",1975-02-08
1979,India,Virat Kohli,10,2,0,"Lord's, London",1979-04-14
1979,India,Virat Kohli,1,2,3,"Eden Gardens, Kolkata",1979-04-01
1979,India,Virat Kohli,46,3,2,"Lord's, London",1979-10-02
1979,India,Virat Kohli,60,2,0,"Eden Gardens, Kolkata",1979-01-07
1979,India,Virat Kohli,144,1,0,"MCG, Melbourne",1979-06-23
1979,India,Virat Kohli,41,4,3,"Wankhede, Mumbai",1979-04-28
1979,India,Sachin Tendulkar,114,2,1,"Chinnaswamy, Bangalore",1979-06-17
1979,India,Sachin Tendulkar,27,5,3,"Lord's, London",1979-06-07
1979,India,Sachin Tendulkar,77,2,2,"Lord's, London",1979-11-01
1979,India,Sachin Tendulkar,98,3,0,"Wankhede, Mumbai",1979-04-28
1979,India,Sachin Tendulkar,48,0,3,"Old Trafford, Manchester",1979-03-06
1979,India,Sachin Tendulkar,144,4,3,"Wankhede, Mumbai",1979-06-17
1979,India,Sachin Tendulkar,120,4,0,"Old Trafford, Manchester",1979-08-04
1979,India,Rohit Sharma,121,3,0,"MCG, Melbourne",1979-02-22
1979,India,Rohit Sharma,92,5,2,"Old Trafford, Manchester",1979-05-12
1979,India,Rohit Sharma,56,2,1,"Wankhede, Mumbai",1979-12-26
1979,India,Rohit Sharma,23,2,0,"Lord's, London",1979-12-04
1979,India,MS Dhoni,67,5,1,"Lord's, London",1979-01-28
1979,India,MS Dhoni,81,0,0,"Wankhede, Mumbai",1979-04-11
1979,India,MS Dhoni,23,2,2,"Eden Gardens, Kolkata",1979-09-23
1979,India,MS Dhoni,96,2,0,"Wankhede, Mumbai",1979-04-27
1979,India,MS Dhoni,14,3,3,"Wankhede, Mumbai",1979-10-21
1979,India,Yuvraj Singh,131,2,1,"Chinnaswamy, Bangalore",1979-04-15
1979,India,Yuvraj Singh,144,2,2,"Wankhede, Mumbai",1979-10-07
1979,India,Yuvraj Singh,145,0,2,"Eden Gardens, Kolkata",1979-05-20
1979,India,Yuvraj Singh,46,2,0,"Eden Gardens, Kolkata",1979-09-28
1979,India,Yuvraj Singh,39,1,2,"MCG, Melbourne",1979-10-24
1979,Australia,Ricky Ponting,123,3,2,"Lord's, London",1979-09-12
1979,Australia,Ricky Ponting,89,4,3,"Eden Gardens, Kolkata",1979-12-20
1979,Australia,Ricky Ponting,118,1,0,"Old Trafford, Manchester",1979-03-11
1979,Australia,Ricky Ponting,94,1,1,"Old Trafford, Manchester",1979-12-05
1979,Australia,Ricky Ponting,2,4,0,"Chinnaswamy, Bangalore",1979-06-18
1979,Australia,Ricky Ponting,14,2,1,"Lord's, London",1979-12-09
1979,Australia,Ricky Ponting,3,1,1,"MCG, Melbourne",1979-09-06
1979,Australia,Ricky Ponting,56,5,0,"Wankhede, Mumbai",1979-12-06
1979,Australia,Glenn Maxwell,142,1,0,"Old Trafford, Manchester",1979-12-28
1979,Australia,Glenn Maxwell,46,0,0,"Chinnaswamy, Bangalore",1979-06-08
1979,Australia,Glenn Maxwell,70,5,0,"Eden Gardens, Kolkata",1979-09-01
1979,Australia,Glenn Maxwell,138,2,1,"Wankhede, Mumbai",1979-06-05
1979,Australia,Glenn Maxwell,73,2,0,"MCG, Melbourne",1979-03-22
1979,Australia,Glenn Maxwell,141,0,3,"Chinnaswamy, Bangalore",1979-03-16
1979,Australia,Glenn Maxwell,94,1,1,"Chinnaswamy, Bangalore",1979-05-11
1979,Australia,Steve Smith,71,0,2,"MCG, Melbourne",1979-02-22
1979,Australia,Steve Smith,60,2,1,"MCG, Melbourne",1979-02-13
1979,Australia,Steve Smith,9,1,3,"Eden Gardens, Kolkata",1979-04-20
1979,Australia,Steve Smith,137,3,1,"Lord's, London",1979-11-06
1979,Australia,Steve Smith,148,0,1,"Old Trafford, Manchester",1979-01-18
1979,Australia,Steve Smith,20,1,3,"Chinnaswamy, Bangalore",1979-08-28
1979,Australia,Steve Smith,75,3,2,"MCG, Melbourne",1979-05-12
1979,Australia,Steve Smith,104,1,3,"Old Trafford, Manchester",1979-07-16
1979,Australia,Steve Smith,94,3,3,"MCG, Melbourne",1979-11-03
1979,Australia,David Warner,10,2,3,"Eden Gardens, Kolkata",1979-05-05
1979,Australia,David Warner,6,0,2,"Old Trafford, Manchester",1979-11-07
1979,Australia,David Warner,43,5,3,"Old Trafford, Manchester",1979-12-27
1979,Australia,David Warner,72,4,1,"Old Trafford, Manchester",1979-03-27
1979,Australia,David Warner,134,2,0,"Chinnaswamy, Bangalore",1979-10-25
1979,Australia,David Warner,51,3,1,"Lord's, London",1979-04-06
1979,Australia,Adam Gilchrist,58,2,1,"Wankhede, Mumbai",1979-09-09
1979,Australia,Adam Gilchrist,108,5,2,"Chinnaswamy, Bangalore",1979-12-23
1979,Australia,Adam Gilchrist,70,2,1,"MCG, Melbourne",1979-03-04
1979,Australia,Adam Gilchrist,37,1,0,"MCG, Melbourne",1979-11-10
1979,Australia,Adam Gilchrist,29,1,0,"Wankhede, Mumbai",1979-11-08
1979,Australia,Adam Gilchrist,144,4,2,"Old Trafford, Manchester",1979-04-08
1979,Australia,Adam Gilchrist,80,5,2,"Chinnaswamy, Bangalore",1979-04-20
